rang,repo,url,etoiles,forks,cree,pousse,langage,tier,score,axes,topics,description
1,XscannedX/990fxOrchestrator,https://github.com/XscannedX/990fxOrchestrator,3,1,2026-04-22,2026-08-17,C,S,43,DECODE MOD REBAR TOOL,990fx bios bios-mod bios-patch bios-patching dxe-driver edk2 efi firmware infere,This is a bios module that natively inject 4G decoding and ReBar logic on a 990fx Chipset. Be sure the read all the documentation before proceding flashing your bios and do other stuff. THIS IS NOT A OUT OF THE BOX READY
2,FASTCHIP/cmp50hx_20GB_X16_BTC79X5,https://github.com/FASTCHIP/cmp50hx_20GB_X16_BTC79X5,0,0,2026-09-16,2026-09-16,C,S,37,DECODE MOD REBAR,,"CMP 50HX 20GB mining GPU on BTC79X5 (X79): ReBAR/MMIOH BIOS mods, BAR1 P2P enablement, and a from-scratch setup guide"
3,mikeyoubeach/z690m-snow-dream-rebar,https://github.com/mikeyoubeach/z690m-snow-dream-rebar,0,0,2026-09-15,2026-09-15,Python,S,34,CN MOD REBAR,ai-agent bios-mod firmware-modding nvstrapsrebar rebar resizable-bar uefi z690,精粤 Z690M Snow Dream D4 给 RTX 20 系开 ReBAR：让 AI Agent 改主板 BIOS 的全过程（刷砖→编程器救回→复盘→成功）+ 纯 Python 固件注入/验证工具链
4,jackjusko/GA-X99-UD4P-QFlash-Above-4G-Decoding-ReBar-Cap-Removed-MMIO-High-Size-Raised-to-1tb-by-jack-jusko,https://github.com/jackjusko/GA-X99-UD4P-QFlash-Above-4G-Decoding-ReBar-Cap-Removed-MMIO-High-Size-Raised-to-1tb-by-jack-jusko,1,0,2026-09-05,2026-09-06,,S,30,DECODE REBAR,,"QFlash Above 4G Decoding, ReBar Cap Removed, MMIO High Size Raised to 1tb for the GA-X99-UD4P"
5,rohithvishaal/BIOS_Password_Unlock,https://github.com/rohithvishaal/BIOS_Password_Unlock,0,0,2026-09-05,2026-09-05,,S,29,MOD SETUP TOOL,,"Step-by-step guide to bypassing BIOS Lock/FPRR flash protection on Acer Predator (Intel PCH) laptops for custom BIOS flashing via FPT — includes Boot Guard pre-checks, UEFI variable offsets, and setup_var.efi usage."
6,Vexx336/gmktec-m5pro-rebar-bios,https://github.com/Vexx336/gmktec-m5pro-rebar-bios,0,0,2026-08-25,2026-08-25,Shell,S,28,REBAR SETUP,,GMK M5 Pro (ACB19D) BIOS 1.03 Resizable BAR (ReBAR) enablement — verified 2-byte NVRAM defaults mod + setup_var route + ReBarDxe GUI guide
7,danindiana/vbios-flash-3080,https://github.com/danindiana/vbios-flash-3080,0,0,2026-05-15,2026-06-02,,S,28,AN REBAR VBIOS,,Archived — RTX 3080 VBIOS ROM-extraction sub-session; superseded by rtx3080-rebar-vbios
8,nesvet/z10pe-d8-ws-bios-unlock,https://github.com/nesvet/z10pe-d8-ws-bios-unlock,4,1,2026-06-27,2026-08-09,TypeScript,S,28,MOD PLAT SETUP,asus bios-mod homelab intelrcsetup pcie-bifurcation uefi xeon z10pe-d8-ws,Unlock PCIe bifurcation (IIO) on ASUS Z10PE-D8 WS BIOS 4301 without AMIBCP
9,BruceLee1024/RebarViz,https://github.com/BruceLee1024/RebarViz,38,15,2026-02-26,2026-07-22,TypeScript,S,27,CN REBAR,22g101 3d-visualization construction engineering-education nextjs react rebar st,基于 22G101 的钢筋平法识图与 3D 配筋可视化工具，支持 AI 生成、图纸识别、规范校验和工程量估算。
10,anjingkongkok-crypto/Intel-ARC-Rebar,https://github.com/anjingkongkok-crypto/Intel-ARC-Rebar,0,0,2026-09-17,2026-09-17,Shell,S,25,MOD REBAR,alchemist battlemage debian initramfs intel-arc linux-gpu pcie rebar resizable-b,"Unlock Intel Arc full VRAM on BIOSes without Resizable BAR support via boot-time initramfs tool—no firmware, kernel, or driver modifications."
11,GingerCybersecurity/uefivars-rs,https://github.com/GingerCybersecurity/uefivars-rs,0,0,2026-09-10,2026-09-10,Rust,S,25,AN SETUP TOOL,,"Read, write, and manipulate UEFI variable stores in AWS, EDK2/OVMF, and JSON formats"
12,Lex-is-BIM/FloorSynchronizedEdgeRebars,https://github.com/Lex-is-BIM/FloorSynchronizedEdgeRebars,0,0,2026-06-29,2026-09-08,Lua,S,25,REBAR VBIOS,stdl-reinforcement,Double reinforcing mesh with U-shaped edge reinforcement rebars featuring configurable leg lengths and left/right anchor hooks
13,quangduyitx/cmp40hx-unlocker,https://github.com/quangduyitx/cmp40hx-unlocker,1,0,2026-09-09,2026-09-15,Python,S,25,MOD REBAR,cmp-40hx gpu-unlock,"Linux GUI & CLI tool to unlock NVIDIA CMP 40HX compute performance (FP32 & Tensor Cores), PCIe Gen2 link, 8GB Resizable BAR, and patch glcore Vulkan stutter."
14,DaVqaq/above4g-unlock,https://github.com/DaVqaq/above4g-unlock,2,0,2026-05-28,2026-08-07,Shell,S,25,DECODE MOD,,"Unlock Above 4G MMIO for compute GPUs (Tesla P40 & similar) on motherboards whose BIOS lacks the toggle - pure Linux DSDT/GRUB fix, no BIOS flashing, fully reversible. Tested: Colorful H470M-PLUS V20 + Tesla P40"
15,stecklars/nvstraps-config,https://github.com/stecklars/nvstraps-config,5,0,2026-07-11,2026-07-11,Python,S,25,REBAR VBIOS,linux nvidia nvstrapsrebar rebarstate resizable-bar turing uefi,Linux configuration tool for NvStrapsReBar (Resizable BAR on NVIDIA Turing GPUs) — replaces the Windows-only ReBarState
